Id,SourceId,Source,Comment,W,L,G,PossibleDuplicate,SuspiciousWeight
352,C227,Crawford,,29.30,49.00,21.00,0,0
353,C228,Crawford,,29.25,50.00,22.00,0,0
354,C229,Crawford,,29.25,48.00,21.00,0,0
355,C230,Crawford,,29.25,48.00,21.00,0,0
356,C231,Crawford,,29.25,45.00,20.88,0,0
357,C232,Crawford,,29.13,48.00,21.00,0,0
358,C233,Crawford,,29.13,47.00,21.00,0,0
359,X49,Crawford,,29.00,48.00,21.00,0,0
360,X63,Crawford,,29.00,48.50,21.50,0,0
361,C234,Crawford,,29.00,53.00,20.00,0,0
362,C235,Crawford,,29.00,48.50,21.50,0,0
363,C236,Crawford,,29.00,50.50,19.50,0,0
364,C237,Crawford,,29.00,50.00,21.50,0,0
365,C238,Crawford,,29.00,46.63,20.00,0,0
366,C239,Crawford,,29.00,48.00,21.00,0,0
367,C240,Crawford,,28.75,49.50,22.00,0,0
368,C241,Crawford,,28.50,50.50,22.00,0,0
369,C242,Crawford,,28.50,44.00,23.75,0,0
370,C243,Crawford,,28.38,49.50,21.00,0,0
371,C244,Crawford,,28.28,49.00,20.75,0,0
372,X16,Crawford,,28.25,49.00,20.25,0,0
373,C245,Crawford,,28.13,48.25,21.50,0,0
374,C246,Crawford,,28.13,47.00,27.50,0,0
375,C247,Crawford,,28.06,49.00,21.00,0,0
376,C248,Crawford,,28.06,48.25,20.25,0,0
377,C249,Crawford,,28.06,50.50,20.00,0,0
378,L11,Crawford,,28.00,49.00,21.25,0,0
379,L46,Crawford,,28.00,45.00,21.50,0,0
380,L59,Crawford,,28.00,46.50,23.00,0,0
381,M24,Crawford,,28.00,47.50,20.50,0,0
382,X23,Crawford,,28.00,48.00,20.50,0,0
383,X60,Crawford,,28.00,47.50,21.00,0,0
384,N01,Crawford,,28.00,48.00,22.00,0,0
385,N03,Crawford,,28.00,47.00,21.00,0,0
386,N23,Crawford,,28.00,48.50,21.00,0,0
387,C250,Crawford,,28.00,46.50,23.00,0,0
388,C251,Crawford,,28.00,48.00,22.00,0,0
389,C252,Crawford,,28.00,47.00,21.00,0,0
390,C253,Crawford,,28.00,48.50,21.00,0,0
391,C254,Crawford,,28.00,47.50,21.00,0,0
392,C255,Crawford,,28.00,48.00,20.50,0,0
393,C256,Crawford,,28.00,45.00,21.50,0,0
394,C257,Crawford,,28.00,46.75,21.25,0,0
395,C258,Crawford,,28.00,50.00,20.00,0,0
396,C259,Crawford,,28.00,49.50,20.00,0,0
397,C260,Crawford,,28.00,49.00,19.00,0,0
398,C261,Crawford,,28.00,47.50,20.00,0,0
399,C262,Crawford,,28.00,49.00,21.25,0,0
400,C263,Crawford,,28.00,45.00,22.25,0,0
401,C264,Crawford,,27.88,51.00,19.00,0,0
402,X17,Crawford,,27.50,46.50,20.75,0,0
403,N40,Crawford,,27.50,48.00,21.25,0,0
404,C265,Crawford,,27.50,49.00,19.50,0,0
405,C266,Crawford,,27.50,46.50,20.75,0,0
406,C267,Crawford,,27.50,46.50,20.50,0,0
407,C268,Crawford,,27.50,48.00,21.25,0,0
408,C269,Crawford,,27.50,45.50,18.50,0,0
409,C270,Crawford,,27.43,49.00,20.00,0,0
410,X79,Crawford,,27.25,47.00,20.50,0,0
411,N54,Crawford,,27.25,45.50,21.00,0,0
412,C272,Crawford,,27.25,47.00,20.50,0,0
413,C273,Crawford,,27.25,45.50,21.00,0,0
414,C271,Crawford,,27.13,46.00,24.00,0,0
415,C274,Crawford,,27.06,46.50,20.00,0,0
416,L06,Crawford,,27.00,45.00,22.25,0,0
